sat_label,sat_url,sat_Location,sat_zoomScale,sat_Type,sat_Lat-Center,sat_Lon-Center,sat_Lat-NW,sat_Lon-NW,sat_Lat-SE,sat_Lon-SE,sat_minRed,sat_firstQrtRed,sat_medianRed,sat_meanRed,sat_thirdQrtRed,sat_maxRed,sat_sdRed,sat_minGreen,sat_firstQrtGreen,sat_medianGreen,sat_meanGreen,sat_thirdQrtGreen,sat_maxGreen,sat_sdGreen,sat_minBlue,sat_firstQrtBlue,sat_medianBlue,sat_meanBlue,sat_thirdQrtBlue,sat_maxBlue,sat_sdBlue,sat_cl1red,sat_cl2red,sat_cl3red,sat_cl4red,sat_cl1green,sat_cl2green,sat_cl3green,sat_cl4green,sat_cl1blue,sat_cl2blue,sat_cl3blue,sat_cl4blue,sat_cl1size,sat_cl2size,sat_cl3size,sat_cl4size,sat_cl1name,sat_cl2name,sat_cl3name,sat_cl4name
farmCherry,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/farmCherry.png,Cherry Orchid Farm,.3mi,farm,40.322965,-74.728754,40.332624,-74.749758,40.313732,-74.707701,0,0.137254902,0.215686275,0.25191335,0.341176471,0.937254902,0.14897944,0,0.22745098,0.325490196,0.33561289,0.443137255,0.933333333,0.139232088,0.003921569,0.149019608,0.196078431,0.221050832,0.262745098,0.937254902,0.110102455,0.204951708638044,0.361271490115523,0.103829285737177,0.602941124851978,0.312061512218915,0.454567598926795,0.176471605660498,0.584050677081246,0.191569882362021,0.272835318092153,0.128496372697394,0.515793847681763,0.317409688390477,0.315146612740142,0.297610074455373,0.0698336244140086,gray24,darkolivegreen,gray14,gray57
farmLawrenceville,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/farmLawrenceville.png,Lawrenceville School’s Big Red Farm,.3mi,farm,40.318704,-74.744964,40.328533,-74.765787,40.30969,-74.723841,0,0.145098039,0.243137255,0.2517942,0.341176471,0.894117647,0.130786464,0,0.243137255,0.349019608,0.341728915,0.443137255,0.894117647,0.127349197,0.007843137,0.152941176,0.203921569,0.216487509,0.258823529,0.898039216,0.09262799,0.341761781187704,0.193506370174901,0.0985673297631171,0.551805091994163,0.441594237333882,0.301944337935679,0.171100168762641,0.542373134232376,0.258447097760468,0.184214404599468,0.122766917951963,0.476703387160047,0.407344425039066,0.30290651714312,0.233696111774979,0.0560529460428348,darkolivegreen,gray23,gray13,lightyellow4
farmStony,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/farmStony.png,Stony Ford Field Station Farm,.3mi,farm,40.352764,-74.719865,40.363028,-74.74057,40.342669,-74.698661,0,0.125490196,0.188235294,0.224844606,0.298039216,0.984313725,0.138351991,0,0.2,0.282352941,0.296087941,0.388235294,0.992156863,0.134061992,0,0.129411765,0.17254902,0.196867092,0.239215686,0.992156863,0.108559691,0.199128594056795,0.0986578692483058,0.370994227390301,0.589291249884452,0.293939119479546,0.154146748615205,0.444227711741093,0.56432466053702,0.180576185040869,0.108521132104084,0.278990021530769,0.528376446511068,0.402373379906241,0.323044397463002,0.224277966724883,0.0503042559058737,gray22,gray12,darkolivegreen,gray56
gardenMtLake,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/gardenMtLake.png,Mt. Lake,.3mi,garden,40.365934,-74.672103,40.375474,-74.693112,40.356519,-74.650875,0.003921569,0.176470588,0.239215686,0.282357361,0.360784314,0.925490196,0.151668212,0.003921569,0.262745098,0.337254902,0.355194447,0.439215686,0.937254902,0.134945,0.047058824,0.219607843,0.262745098,0.30168643,0.341176471,0.937254902,0.128232048,0.242548455408818,0.138634005168871,0.414692065874519,0.621088129090767,0.341373922721555,0.20854198416251,0.472853186066329,0.617311226636281,0.265514088680185,0.19663082727455,0.38434696661171,0.616342684968064,0.41145693538009,0.288522842172994,0.212111407298465,0.0879088151484511,gray28,gray18,gray42,gray62
gardenPrinceton,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/gardenPrinceton.png,Princeton,.3mi,garden,40.347059,-74.656342,40.356602,-74.677287,40.337598,-74.635291,0.003921569,0.207843137,0.301960784,0.337206173,0.447058824,0.925490196,0.164197797,0,0.282352941,0.380392157,0.390237165,0.494117647,0.933333333,0.144011196,0.074509804,0.254901961,0.31372549,0.357888834,0.435294118,0.917647059,0.137970566,0.282255022459412,0.164893413158706,0.445943770310959,0.633076763588844,0.366396011516635,0.223571888867378,0.484556113960742,0.624276673154581,0.303739821935569,0.2316264693977,0.42968802908603,0.62359959476019,0.332056255170512,0.28310138799522,0.250274841437632,0.134567515396636,gray32,gray21,gray45,gray63
golfHopewell,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/golfHopewell.png,Hopewell Golf course,.3mi,golf,40.364166,-74.783442,40.373815,-74.804523,40.354771,-74.762368,0,0.160784314,0.235294118,0.281769338,0.396078431,0.949019608,0.158270028,0,0.254901961,0.345098039,0.3549874,0.462745098,0.917647059,0.132802485,0,0.176470588,0.22745098,0.255624951,0.31372549,0.921568627,0.114245163,0.223765038729398,0.11516503720601,0.40339530139506,0.586697227640182,0.328381216013129,0.194359024496223,0.465286404079278,0.567972954607,0.218559554575643,0.143643990005996,0.320005016468611,0.496834675217876,0.361286882985569,0.265465575880136,0.265298281092012,0.107949260042283,gray26,gray15,gray40,ivory4
golfPrinceton,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/golfPrinceton.png,Princeton golf course,.3mi,golf,40.338103,-74.661537,40.347688,-74.682536,40.328815,-74.640488,0.007843137,0.2,0.28627451,0.329407626,0.435294118,0.968627451,0.167347607,0.007843137,0.278431373,0.37254902,0.387890092,0.494117647,0.976470588,0.145400749,0.109803922,0.250980392,0.298039216,0.345232711,0.407843137,0.964705882,0.133731788,0.279993204515064,0.164602720491006,0.445538705120208,0.646148174164342,0.370683175538241,0.229289438658604,0.490910991262167,0.63243639494598,0.297262004688394,0.230410772193171,0.417128883122026,0.617386264004738,0.319123081165548,0.315249563378987,0.239694824891994,0.125932530563471,gray32,gray21,gray45,gray63
schHopeElem,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/schHopeElem.png,Hopewell Elemenary,.3mi,school,40.38491,-74.75798,40.394606,-74.779177,40.375683,-74.736848,0,0.164705882,0.274509804,0.320908071,0.48627451,0.941176471,0.187551213,0,0.254901961,0.380392157,0.384290482,0.533333333,0.941176471,0.170926902,0,0.17254902,0.247058824,0.288455059,0.396078431,0.949019608,0.148443915,0.228363859815439,0.43157600065856,0.102808511777867,0.603321216074059,0.329214996870535,0.496706030199968,0.156642335334534,0.611099243983062,0.216509368565664,0.351639680903773,0.129206489040226,0.524743338093403,0.332025002298005,0.24478904311058,0.231515764316573,0.191670190274841,gray26,darkseagreen4,gray13,gray58
schHopeHS_TimberMS,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/schHopeHS_TimberMS.png,Hopewell Central HS + Timberlane MS,.3mi,school,40.328281,-74.804559,40.33784,-74.825575,40.319148,-74.783438,0,0.156862745,0.282352941,0.299165847,0.42745098,0.960784314,0.165228972,0,0.250980392,0.360784314,0.353255277,0.450980392,0.952941176,0.132527115,0.003921569,0.176470588,0.247058824,0.27004928,0.337254902,0.952941176,0.12594629,0.415040407962094,0.233873944664757,0.108223305346893,0.579102404647386,0.441550101742689,0.323920710338058,0.187500121892146,0.561522360690173,0.329398239396863,0.218969231435148,0.144009569346886,0.524350564735912,0.327281919294053,0.292311793363361,0.266156815883813,0.114249471458774,gray40,gray26,gray15,gray56
schTollGram,/Users/leannahouse/Documents/research/imageomics/quest/andromeda2023/satalittleImages/cleanImages/schTollGram.png,Toll Gate Grammer,.3mi,school,40.321026,-74.78868,40.330632,-74.809579,40.311546,-74.767619,0,0.152941176,0.254901961,0.280143309,0.388235294,0.960784314,0.158383812,0,0.247058824,0.345098039,0.345860753,0.447058824,0.952941176,0.131762409,0.003921569,0.176470588,0.231372549,0.261731834,0.31372549,0.952941176,0.120515527,0.381367021957964,0.215405547415513,0.104149783428828,0.568970144359676,0.436413829874851,0.312425183035085,0.182392710736149,0.552816371783496,0.310592356622423,0.213408306540654,0.146799317391483,0.511936358166229,0.312074639213163,0.311462450592885,0.258505377332475,0.117957532861476,gray38,gray25,gray14,ivory4
